Datetime,Tweet Id,Text,Username
2021-11-06 23:42:19+00:00,1457131262498512901,Just watched the #Eternals it was great. I don’t why it got bad reviews. Angelina Jolie &amp; Richard Madden are so fucking beautiful.,SowDana
2021-11-06 23:42:16+00:00,1457131249559035905,My ★★★★★ review of Eternals on @letterboxd: https://t.co/6Re7t4zZVR,Reece2304
2021-11-06 23:41:36+00:00,1457131080658653188,Woke Critics TURN On Rotten Tomatos Over The Eternals Reviews &amp; Hilariou... https://t.co/rJ0om2sg9f via @YouTube,OtakuDante
2021-11-06 23:41:34+00:00,1457131071980589060,marvel studios is retweeting positive reviews of eternals. and that is super funny to me,ty__happy
2021-11-06 23:41:20+00:00,1457131014153768964,"Hey besties,
Eternals review is up on the blog :)
#Eternals 

https://t.co/wNXXq4VIF1",endofapaige
2021-11-06 23:40:37+00:00,1457130832951455745,"after hearing about #Eternals’s poor reviews, my expectations were low— but was very very pleasantly surprised :) it’s def got flaws but overall a pretty solid movie",ktem27
2021-11-06 23:40:21+00:00,1457130767264460804,ETERNALS WAS PRETTY GOOD!!! I honestly don’t know why it is getting so many bad reviews. It is definitely not marvel’s “worst.” All of the characters have their moment to shine in this film and the special effects are beautiful! ✨,adrianaisabel78
2021-11-06 23:39:20+00:00,1457130510719889412,"My spoiler free review of Eternals is that critics are too grumpy, and Druig and Makkari are my children and I will not be taking questions at this time",eclecticmuses
2021-11-06 23:39:03+00:00,1457130437164167170,Should I make an Eternals review video? Or stick to just Wheel of Time content?,SpearMaidens
2021-11-06 23:38:57+00:00,1457130412296261638,Eternals review up on the insta! https://t.co/pGOiOiE8tK,someduudee
2021-11-06 23:38:56+00:00,1457130410316554241,"#SaturdayThoughts Sub @TheRochaSays Ch, Set a Reminder &amp; join @Geek_Buddies, LIVE, Sunday 9pmET/6pmPT, for John, @mktoon @Shannon_McClung FULL, @MarvelStudios #Eternals Open SPOILER REVIEW &amp; Discussion, &amp; answer your Streamlab/S.Chat ?'s &amp;/or Comments! https://t.co/4ijBT2X98U https://t.co/nTrUFrpZoV",haskell420
2021-11-06 23:37:34+00:00,1457130064252915713,My ★★★★ review of Eternals on @letterboxd: https://t.co/1Z1WkOWVFI,oftenwrng
2021-11-06 23:37:09+00:00,1457129962243252229,"Marvel Studios #Eternals in “10 words or less”.
Rotten Tomatoes 🍅 review was a little too harsh.
7/10 (The film ran an half hour too long; hardly another character development, bad pacing but the acting, humor and visual effects were good). https://t.co/hHHL0h4ibx",averydmerrick
2021-11-06 23:37:02+00:00,1457129930458742786,"My ★★★ review of Eternals on Letterboxd

#Eternals #Marvel #Kingo #Letterboxd

 https://t.co/HUlYMCLiiA",Rodg_Podg
2021-11-06 23:35:49+00:00,1457129626204000258,"Eternals Review 

8/10

Great story, good characters, good jokes.

All the characters are funny and memorable.

Also that ending was
🤯🤯🤯🤯🤯🤯 https://t.co/kdbfUBoyzt",you_know22
2021-11-06 23:35:38+00:00,1457129579861192708,"I don't understand why Eternals is getting such negative reviews. Personally, I loved it! https://t.co/NUCclBADxM",joefarella
2021-11-06 23:35:33+00:00,1457129559153954817,"IDK about review bombing, But Eternals felt like a whiff to me. Bland and joyless with little reason to like or resonate with any of the characters outside of Sersi. Dour can be overcame if you can at least give me some cool shit to sit through, but that was lacking as well",RedNorvell
2021-11-06 23:35:20+00:00,1457129505353515008,okay so i just saw eternals and lemme just say those rotten reviews are bull cause the movie really wasnt that bad,bbycrablegs
2021-11-06 23:34:56+00:00,1457129401322254337,My ★★★★½ review of Eternals on @letterboxd: https://t.co/t1eiHtfyVq,sidebounds
2021-11-06 23:34:47+00:00,1457129363321856001,"Also, Eternals seems like it's going to make a bunch of money and that yet again proves that critics reviews do not hurt the box office of blockbuster cinema.",MarkIHarrison
2021-11-06 23:34:07+00:00,1457129198607294465,"So I've sat on my #Eternals thoughts for a bit and I really liked it. The main issue was the character development and being overstuffed but other than that I loved it, story was great, loved the characters, subplots were interesting and action was awesome, full review tonight!",aryanp0
2021-11-06 23:32:49+00:00,1457128871799762957,"@GraceRandolph Grace did you see Tyrone Magnus #Eternals review, with his blatant homophobia 🙈 calling the movie WOKE because of that 1 kiss",ThatFinalBoy
2021-11-06 23:32:06+00:00,1457128689016131589,"@CultureCrave @CinemaScore eternals was literally one of the best marvel films i’ve seen. it was so good, the review are complete bs",amberisnotokay
2021-11-06 23:32:02+00:00,1457128674898161671,"@redrock_bball I can fit mine. ;) Not as bad as the reviews, but not going to change your life. Eternals (any series) is a tough read, makes sense it would be tough to film, lot of explaining to do. Will be looked at more favorably later because it’s a table-setter. Stingers got me psyched.",IHateTw06074871
2021-11-06 23:31:56+00:00,1457128647265972225,"Three geeks. Three very different opinions. Who’s ready to hear @TheRochaSays, @Shannon_McClung and yours truly talk #Eternals?

Our @Geek_Buddies spoiler review. Live. Sunday night. 6 pm PST! https://t.co/dzvbzJePer",mktoon
2021-11-06 23:30:39+00:00,1457128324002729988,"Here is my review for #Eternals. Please check it out.

https://t.co/dytb7XOmKp https://t.co/rLxXMVIkDU",QuintDunaway
2021-11-06 23:30:22+00:00,1457128252808601601,"Our Editor-In-Chief @richbaileyjr and Entertainment Editor @sagesurge give their spoiler review of Marvel's Eternals and breakdown those end-credit scenes.

#Eternals https://t.co/XWSIMzSY15",TheKoalition
2021-11-06 23:30:20+00:00,1457128247234375687,im surprised how eternals got bad reviews despite having LGBGQ+ references and pushing Hollywood agendas,CreigMonke
